PERIOD,CATEGORY,CHANNEL,MDF_SPLIT,SPEND
Jan 2026,Advertising,Amazon 1P,Non-MDF,12583.16
Jan 2026,Other Mktg,Amazon 1P,MDF,41667
Jan 2026,Other Mktg,Amazon 1P,Non-MDF,357291.25
Jan 2026,Promos,Amazon 1P,N/A - Promos,1823.4
Jan 2026,Advertising,Home Depot,Non-MDF,11129.88
Jan 2026,Other Mktg,Home Depot,Non-MDF,27406.02
Jan 2026,Promos,Home Depot,N/A - Promos,1305.91
Jan 2026,Advertising,Other Retail,Non-MDF,1138.82
Jan 2026,Other Mktg,Other Retail,Non-MDF,61064.05
Jan 2026,Promos,Other Retail,N/A - Promos,139.2
Jan 2026,Advertising,TTS,Non-MDF,195058.86
Jan 2026,Other Mktg,TTS,Non-MDF,204279.41
Jan 2026,Promos,TTS,N/A - Promos,131255.2
Jan 2026,Advertising,Walmart,Non-MDF,1142.95
Jan 2026,Other Mktg,Walmart,Non-MDF,6117.07
Jan 2026,Promos,Walmart,N/A - Promos,101.96
Feb 2026,Advertising,Amazon 1P,Non-MDF,39722.49
Feb 2026,Other Mktg,Amazon 1P,MDF,41667
Feb 2026,Other Mktg,Amazon 1P,Non-MDF,361145.91
Feb 2026,Promos,Amazon 1P,N/A - Promos,42494.84
Feb 2026,Advertising,Home Depot,Non-MDF,-4656.07
Feb 2026,Other Mktg,Home Depot,Non-MDF,102210.18
Feb 2026,Promos,Home Depot,N/A - Promos,23769.6
Feb 2026,Advertising,Other Retail,Non-MDF,2174.87
Feb 2026,Other Mktg,Other Retail,Non-MDF,31913.49
Feb 2026,Promos,Other Retail,N/A - Promos,246.45
Feb 2026,Advertising,TTS,Non-MDF,181493.81
Feb 2026,Other Mktg,TTS,Non-MDF,199214.72
Feb 2026,Promos,TTS,N/A - Promos,109746.42
Feb 2026,Advertising,Walmart,Non-MDF,2528.21
Feb 2026,Other Mktg,Walmart,Non-MDF,13953.62
Feb 2026,Promos,Walmart,N/A - Promos,61471.93
Mar 2026,Advertising,Amazon 1P,Non-MDF,-46453.43
Mar 2026,Other Mktg,Amazon 1P,MDF,41667
Mar 2026,Other Mktg,Amazon 1P,Non-MDF,383207.05
Mar 2026,Promos,Amazon 1P,N/A - Promos,356901.43
Mar 2026,Advertising,Home Depot,Non-MDF,-8990.34
Mar 2026,Other Mktg,Home Depot,Non-MDF,190981.93
Mar 2026,Promos,Home Depot,N/A - Promos,14721.34
Mar 2026,Advertising,Other Retail,Non-MDF,-2852.94
Mar 2026,Other Mktg,Other Retail,Non-MDF,55091
Mar 2026,Promos,Other Retail,N/A - Promos,28595.76
Mar 2026,Advertising,TTS,Non-MDF,245065.67
Mar 2026,Other Mktg,TTS,Non-MDF,188489.93
Mar 2026,Promos,TTS,N/A - Promos,156622.07
Mar 2026,Advertising,Walmart,Non-MDF,-3595.18
Mar 2026,Other Mktg,Walmart,Non-MDF,246141.16
Mar 2026,Promos,Walmart,N/A - Promos,732.97
Apr 2026,Advertising,Amazon 1P,Non-MDF,10419.34
Apr 2026,Other Mktg,Amazon 1P,MDF,41667
Apr 2026,Other Mktg,Amazon 1P,Non-MDF,353999.68
Apr 2026,Promos,Amazon 1P,N/A - Promos,339881
Apr 2026,Advertising,Home Depot,Non-MDF,1068.49
Apr 2026,Other Mktg,Home Depot,Non-MDF,13597.83
Apr 2026,Promos,Home Depot,N/A - Promos,51553.52
Apr 2026,Advertising,Other Retail,Non-MDF,574.73
Apr 2026,Other Mktg,Other Retail,Non-MDF,324.44
Apr 2026,Promos,Other Retail,N/A - Promos,5506.75
Apr 2026,Advertising,TTS,Non-MDF,224705.71
Apr 2026,Other Mktg,TTS,Non-MDF,109977.25
Apr 2026,Promos,TTS,N/A - Promos,101052.85
Apr 2026,Advertising,Walmart,Non-MDF,5473.18
Apr 2026,Other Mktg,Walmart,Non-MDF,83635.47
Apr 2026,Promos,Walmart,N/A - Promos,1648.98
May 2026,Advertising,Amazon 1P,Non-MDF,15339.59
May 2026,Other Mktg,Amazon 1P,Non-MDF,318012.78
May 2026,Promos,Amazon 1P,N/A - Promos,399194.8
May 2026,Advertising,Home Depot,Non-MDF,1908.66
May 2026,Other Mktg,Home Depot,Non-MDF,67424.6
May 2026,Promos,Home Depot,N/A - Promos,23441.9
May 2026,Advertising,Other Retail,Non-MDF,383.28
May 2026,Other Mktg,Other Retail,Non-MDF,76448.51
May 2026,Promos,Other Retail,N/A - Promos,9520.19
May 2026,Advertising,TTS,Non-MDF,165879.53
May 2026,Other Mktg,TTS,Non-MDF,103442.92
May 2026,Promos,TTS,N/A - Promos,112060.02
May 2026,Advertising,Walmart,Non-MDF,943.93
May 2026,Other Mktg,Walmart,Non-MDF,82223.38
May 2026,Promos,Walmart,N/A - Promos,20723.27
Jun 2026,Advertising,Amazon 1P,Non-MDF,59718.55
Jun 2026,Other Mktg,Amazon 1P,MDF,20833
Jun 2026,Other Mktg,Amazon 1P,Non-MDF,547422.83
Jun 2026,Promos,Amazon 1P,N/A - Promos,2014617.77
Jun 2026,Advertising,Home Depot,Non-MDF,6584.76
Jun 2026,Other Mktg,Home Depot,Non-MDF,2981.25
Jun 2026,Promos,Home Depot,N/A - Promos,186383.85
Jun 2026,Advertising,Other Retail,Non-MDF,1876.65
Jun 2026,Other Mktg,Other Retail,Non-MDF,36995.24
Jun 2026,Promos,Other Retail,N/A - Promos,11235.66
Jun 2026,Advertising,TTS,Non-MDF,120685.95
Jun 2026,Other Mktg,TTS,Non-MDF,66467.07
Jun 2026,Promos,TTS,N/A - Promos,63865.37
Jun 2026,Advertising,Walmart,Non-MDF,3222.42
Jun 2026,Other Mktg,Walmart,Non-MDF,70577.52
Jun 2026,Promos,Walmart,N/A - Promos,264.54
Jul 2026,Advertising,Amazon 1P,Non-MDF,-47034.99
Jul 2026,Other Mktg,Amazon 1P,MDF,20833
Jul 2026,Other Mktg,Amazon 1P,Non-MDF,341224.27
Jul 2026,Promos,Amazon 1P,N/A - Promos,283980.85
Jul 2026,Advertising,Home Depot,Non-MDF,-2391.13
Jul 2026,Other Mktg,Home Depot,Non-MDF,222468.67
Jul 2026,Promos,Home Depot,N/A - Promos,59458.73
Jul 2026,Advertising,Other Retail,Non-MDF,-1332.89
Jul 2026,Other Mktg,Other Retail,Non-MDF,36475.25
Jul 2026,Promos,Other Retail,N/A - Promos,15202.08
Jul 2026,Advertising,TTS,Non-MDF,35682.43
Jul 2026,Other Mktg,TTS,Non-MDF,33842.61
Jul 2026,Promos,TTS,N/A - Promos,7747
Jul 2026,Advertising,Walmart,Non-MDF,-2147.58
Jul 2026,Other Mktg,Walmart,Non-MDF,78731.96
Jul 2026,Promos,Walmart,N/A - Promos,9
